timestamp,vibration,rpm,object_temperature_c,room_temperature_c,distance_cm,belt_height_from_ground_cm,vibration_condition,rpm_condition,object_temperature_condition,room_temperature_condition,distance_condition,overall_status,alerts
48778,3.9809,146643.36,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
49492,8.2399,146643.36,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
50206,10.4713,127142.86,,,1.69,12.31,WARNING_1,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,VIBRATION=WARNING_1 | RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
50920,9.651,127142.86,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
51685,9.6586,121663.29,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
52399,9.6586,121663.29,,,1.69,12.31,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
53115,9.6586,123944.05,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
53829,9.6586,123944.05,,,2.33,11.67,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
54543,9.6486,142142.86,,,2.0,12.0,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
55257,9.6502,142142.86,,,1.67,12.33,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
55971,9.6586,98487.4,,,1.69,12.31,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
56685,9.6546,98487.4,,,1.69,12.31,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
57427,9.6586,149789.92,,,,,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,SENSOR_FAILURE,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=SENSOR_FAILURE
58143,9.6586,149789.92,,,2.97,11.03,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
58857,9.6463,135802.47,,,3.29,10.71,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
59622,9.6429,135802.47,,,3.93,10.07,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
60337,9.6486,141501.02,,,17.22,-3.22,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1 | GEOMETRY_ERROR: distance is greater than sensor height above ground
61051,8.2336,141501.02,,,4.26,9.74,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
61765,10.4792,121427.57,,,3.29,10.71,WARNING_1,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,VIBRATION=WARNING_1 | RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
62479,9.6586,121427.57,,,2.0,12.0,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
63193,9.6586,115546.22,,,1.69,12.31,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
63907,9.651,115546.22,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
64621,2.5113,91890.76,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
65335,10.4741,91890.76,,,2.33,11.67,WARNING_1,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,VIBRATION=WARNING_1 | RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
66049,9.6586,126302.52,,,1.69,12.31,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
66765,9.6586,126302.52,,,2.64,11.36,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
67479,9.6586,130279.72,,,2.62,11.38,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
68193,2.8846,130279.72,,,2.66,11.34,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
68907,9.6456,139159.66,,,2.66,11.34,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE
69622,3.0136,139159.66,32.17,32.09,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
70339,4.722,119832.28,32.09,32.11,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
71054,9.6471,119832.28,32.19,32.11,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
71769,9.6513,113664.34,32.09,32.09,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
72484,9.6586,113664.34,32.11,32.07,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
73250,2.499,110560.43,32.13,32.09,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
73965,9.6586,110560.43,32.17,,2.64,11.36,NORMAL,WARNING_1,NORMAL,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | ROOM_TEMPERATURE=SENSOR_FAILURE
74680,9.6448,128013.98,32.17,32.07,2.0,12.0,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
75394,9.6517,128013.98,,,3.29,10.71,NORMAL,WARNING_1,SENSOR_FAILURE,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
76140,10.3646,134753.42,31.81,,4.26,9.74,WARNING_1,WARNING_1,NORMAL,SENSOR_FAILURE,WARNING_1,SENSOR_FAILURE,VIBRATION=WARNING_1 | RPM=WARNING_1 | ROOM_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1
76879,9.6629,134753.42,1037.55,32.11,3.93,10.07,NORMAL,WARNING_1,HIGH_RISK,NORMAL,WARNING_1,HIGH_RISK,RPM=WARNING_1 | OBJECT_TEMPERATURE=HIGH_RISK | DISTANCE=WARNING_1
77595,8.2399,124993.13,32.11,32.11,16.22,-2.22,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1 | GEOMETRY_ERROR: distance is greater than sensor height above ground
78311,9.6586,124993.13,,32.07,25.71,-11.71,NORMAL,WARNING_1,SENSOR_FAILURE,NORMAL,WARNING_1,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE | DISTANCE=WARNING_1 | GEOMETRY_ERROR: distance is greater than sensor height above ground
79026,9.645,137639.67,32.11,32.11,2.0,12.0,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
79741,8.2308,137639.67,32.11,32.07,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
80456,9.6586,101244.76,32.11,32.11,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
81171,9.6586,101244.76,32.11,32.11,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
81886,9.6586,83454.55,32.11,32.11,2.0,12.0,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NONE
82652,9.6586,83454.55,32.11,,1.69,12.31,NORMAL,NORMAL,NORMAL,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,ROOM_TEMPERATURE=SENSOR_FAILURE
83367,9.6586,99986.49,32.11,32.09,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
84084,25.7528,99986.49,32.13,32.09,2.33,11.67,WARNING_2,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_2,VIBRATION=WARNING_2 | RPM=WARNING_1
84801,9.6586,130083.68,32.17,32.09,2.33,11.67,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
85516,9.6507,130083.68,32.19,32.07,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
86233,9.6586,107723.46,,32.13,2.33,11.67,NORMAL,WARNING_1,SENSOR_FAILURE,NORMAL,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | OBJECT_TEMPERATURE=SENSOR_FAILURE
86948,9.6586,107723.46,32.09,32.11,2.64,11.36,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
87663,4.7245,117272.73,32.13,32.13,1.67,12.33,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
88380,9.6586,117272.73,32.11,32.09,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
89097,2.4975,114476.98,32.11,32.11,2.0,12.0,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
89814,10.4817,114476.98,32.11,32.09,1.69,12.31,WARNING_1,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1
90529,2.499,124106.15,32.13,32.13,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
91244,2.8813,124106.15,32.09,32.09,1.69,12.31,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
91962,9.6586,90503.5,32.11,,1.67,12.33,NORMAL,WARNING_1,NORMAL,SENSOR_FAILURE,NORMAL,SENSOR_FAILURE,RPM=WARNING_1 | ROOM_TEMPERATURE=SENSOR_FAILURE
92677,9.6419,90503.5,32.13,32.09,4.26,9.74,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1
93394,2.5113,146592.33,32.13,32.13,2.97,11.03,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
94109,9.6586,146592.33,32.11,32.13,2.97,11.03,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
94824,9.6711,118447.55,32.17,32.11,3.93,10.07,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1
95541,2.8877,118447.55,32.11,32.09,25.71,-11.71,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1 | GEOMETRY_ERROR: distance is greater than sensor height above ground
96269,10.4715,123575.88,32.11,32.13,25.71,-11.71,WARNING_1,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,VIBRATION=WARNING_1 | RPM=WARNING_1 | DISTANCE=WARNING_1 | GEOMETRY_ERROR: distance is greater than sensor height above ground
96984,9.6586,123575.88,32.13,32.11,3.29,10.71,NORMAL,WARNING_1,NORMAL,NORMAL,WARNING_1,WARNING_1,RPM=WARNING_1 | DISTANCE=WARNING_1
97699,9.6586,109064.24,32.21,32.13,2.0,12.0,NORMAL,WARNING_1,NORMAL,NORMAL,NORMAL,WARNING_1,RPM=WARNING_1
